Organism,Pathway,Relative_Error_%
B. subtilis,GLYCOLYSIS,8.983610599257357
B. subtilis,GLYCOLYSIS,209.92563022111375
B. subtilis,GLYCOLYSIS,10.76112111316875
B. subtilis,GLYCOLYSIS,22.373311343855626
B. subtilis,GLYCOLYSIS,9.853038263306788
B. subtilis,GLYCOLYSIS,53.85330825879626
B. subtilis,GLYCOLYSIS,10.523950654434424
B. subtilis,GLYCOLYSIS,22.11117399891823
B. subtilis,GLYCOLYSIS,9.740124519692584
B. subtilis,GLYCOLYSIS,7.5227952534206635
B. subtilis,GLYCOLYSIS,13.590943359420335
B. subtilis,GLYCOLYSIS,7.129622322554904
B. subtilis,GLYCOLYSIS,4.9507226984634345
B. subtilis,GLYCOLYSIS,2.202012107060221
B. subtilis,GLYCOLYSIS,2562.1238613747632
B. subtilis,GLYCOLYSIS,10.0399737633276
B. subtilis,GLYCOLYSIS,8.025429271638611
B. subtilis,GLYCOLYSIS,15.548029428026677
B. subtilis,GLYCOLYSIS,75.64641546891666
B. subtilis,GLYCOLYSIS,10.582134791258436
B. subtilis,GLYCOLYSIS,53.55476596128065
B. subtilis,GLYCOLYSIS,10.466627992788897
B. subtilis,TCA,120.04325321985957
B. subtilis,TCA,8.331158682728312
B. subtilis,TCA,7.5705245647376005
B. subtilis,TCA,23.518802728032504
B. subtilis,TCA,1.120523177485863
B. subtilis,TCA,22.362290871951878
B. subtilis,TCA,20.238775562606882
B. subtilis,TCA,21.684044191712175
B. subtilis,TCA,6.146137839544508
B. subtilis,TCA,8.914599470507653
B. subtilis,TCA,31.738083631152346
B. subtilis,TCA,16.359107858644755
B. subtilis,TCA,13.849010761601619
B. subtilis,TCA,16.874762216863136
B. subtilis,TCA,24.789099336916
B. subtilis,TCA,99.94742692696782
