Organism,Pathway,Parameter,True_Value,Estimated_Value,Std_Dev,Absolute_Error,Relative_Error_%
B. subtilis,GLYCOLYSIS,HXK_Vmax,226.5,206.15212199268208,25.463280735773697,20.347878007317917,8.983610599257357
B. subtilis,GLYCOLYSIS,HXK_Km_glucose,0.1,0.30992563022111375,0.04889341787052519,0.20992563022111374,209.92563022111375
B. subtilis,GLYCOLYSIS,PGI_Vmax,339.7,376.25552842143424,25.57598753684633,36.555528421434246,10.76112111316875
B. subtilis,GLYCOLYSIS,PGI_Km_G6P,1.4,1.0867736411860212,0.16710601230296993,0.31322635881397876,22.373311343855626
B. subtilis,GLYCOLYSIS,PFK_Vmax,182.9,164.8787930164119,8.546056266049241,18.021206983588115,9.853038263306788
B. subtilis,GLYCOLYSIS,PFK_Km_F6P,0.1,0.04614669174120374,0.00350394455283615,0.053853308258796265,53.85330825879626
B. subtilis,GLYCOLYSIS,ALD_Vmax,322.3,288.38130704075786,7.051329642684991,33.91869295924215,10.523950654434424
B. subtilis,GLYCOLYSIS,ALD_Km_F16BP,0.3,0.3663335219967547,0.019326794669902832,0.06633352199675469,22.11117399891823
B. subtilis,GLYCOLYSIS,TPI_Vmax,999.3,901.966935674712,18.75421878509429,97.33306432528798,9.740124519692584
B. subtilis,GLYCOLYSIS,TPI_Km_DHAP,1.2,1.290273543041048,0.07857311392967745,0.09027354304104795,7.5227952534206635
B. subtilis,GLYCOLYSIS,GAPDH_Vmax,1184.5,1023.5152759076661,42.3569645268063,160.98472409233386,13.590943359420335
B. subtilis,GLYCOLYSIS,GAPDH_Km_GAP,0.39,0.3621944729420359,0.0112922964478866,0.02780552705796413,7.129622322554904
B. subtilis,GLYCOLYSIS,GAPDH_Km_NAD,2.84,2.9806005246363614,0.05101266563670017,0.14060052463636152,4.9507226984634345
B. subtilis,GLYCOLYSIS,PGK_Vmax,1306.4,1335.1670861666348,62.2899788999976,28.767086166634726,2.202012107060221
B. subtilis,GLYCOLYSIS,PGK_Km_13BPG,0.003,0.0798637158412429,0.014196850032796412,0.0768637158412429,2562.1238613747632
B. subtilis,GLYCOLYSIS,GPM_Vmax,2525.8,2272.2103426858716,348.22627486626544,253.58965731412854,10.0399737633276
B. subtilis,GLYCOLYSIS,GPM_Km_3PG,1.2,1.2963051512596633,0.06897730216479497,0.09630515125966332,8.025429271638611
B. subtilis,GLYCOLYSIS,ENO_Vmax,365.8,308.9253083522784,63.62303426242789,56.87469164772159,15.548029428026677
B. subtilis,GLYCOLYSIS,ENO_Km_2PG,0.04,0.07025856618756667,0.0028014544724823368,0.030258566187566664,75.64641546891666
B. subtilis,GLYCOLYSIS,PYK_Vmax,1088.0,972.8663734711082,132.84867635896347,115.1336265288918,10.582134791258436
B. subtilis,GLYCOLYSIS,PYK_Km_PEP,0.14,0.21497667234579293,0.012726954346564318,0.07497667234579292,53.55476596128065
B. subtilis,GLYCOLYSIS,PDC_Km_pyruvate,6.36,5.694322459658626,0.6423689596097493,0.6656775403413739,10.466627992788897
B. subtilis,TCA,CS_Vmax,100.0,220.04325321985957,0.03425701751238747,120.04325321985957,120.04325321985957
B. subtilis,TCA,CS_Km_AcCoA,0.013,0.011916949371245319,0.04611366343672291,0.0010830506287546806,8.331158682728312
B. subtilis,TCA,ACO_Vmax,150.0,138.6442131528936,0.02950565181126228,11.355786847106401,7.5705245647376005
B. subtilis,TCA,ACO_Km_citrate,0.48,0.36710974690544396,0.037480237020518226,0.11289025309455603,23.518802728032504
B. subtilis,TCA,ICDH_Vmax,85.0,84.04755529913702,0.03554499797302865,0.9524447008629835,1.120523177485863
B. subtilis,TCA,ICDH_Km_isocitrate,0.11,0.13459851995914707,0.03834088913266269,0.024598519959147067,22.362290871951878
B. subtilis,TCA,KGDH_Vmax,75.0,59.82091832804484,0.055412651301860724,15.17908167195516,20.238775562606882
B. subtilis,TCA,KGDH_Km_aKG,0.4,0.4867361767668487,0.07623965018722333,0.0867361767668487,21.684044191712175
B. subtilis,TCA,SCS_Vmax,75.0,70.39039662034162,0.03513597442255103,4.609603379658381,6.146137839544508
B. subtilis,TCA,SCS_Km_SucCoA,0.056,0.051007824296515715,0.06431388397414052,0.004992175703484286,8.914599470507653
B. subtilis,TCA,SDH_Vmax,60.0,79.04285017869141,0.059079669396867554,19.04285017869141,31.738083631152346
B. subtilis,TCA,SDH_Km_succinate,0.45,0.5236159853639014,0.047886393809603786,0.0736159853639014,16.359107858644755
B. subtilis,TCA,FH_Vmax,200.0,172.30197847679676,0.027740144673486213,27.698021523203238,13.849010761601619
B. subtilis,TCA,FH_Km_fumarate,0.044,0.03657510462458022,0.026509798402212514,0.007424895375419779,16.874762216863136
B. subtilis,TCA,MDH_Vmax,180.0,224.6203788064488,0.02703497230574863,44.6203788064488,24.789099336916
B. subtilis,TCA,MDH_Km_malate,0.025,1.314326825804301e-05,0.043560307990891035,0.024986856731741957,99.94742692696782
