Organism,Pathway,Relative_Error_%
E. coli,GLYCOLYSIS,3.9231364583902057
E. coli,GLYCOLYSIS,30.61688113524924
E. coli,GLYCOLYSIS,7.778960187587905
E. coli,GLYCOLYSIS,8.969756104058876
E. coli,GLYCOLYSIS,12.291244021706387
E. coli,GLYCOLYSIS,8.157833392525044
E. coli,GLYCOLYSIS,6.217899614157917
E. coli,GLYCOLYSIS,3.215524474200408
E. coli,GLYCOLYSIS,2.81925848450887
E. coli,GLYCOLYSIS,15.819248224643978
E. coli,GLYCOLYSIS,10.638490347247636
E. coli,GLYCOLYSIS,3.8752540462971545
E. coli,GLYCOLYSIS,5.019146890121025
E. coli,GLYCOLYSIS,4.166296586820635
E. coli,GLYCOLYSIS,28.62010071509713
E. coli,GLYCOLYSIS,9.61823144320154
E. coli,GLYCOLYSIS,6.387542868631339
E. coli,GLYCOLYSIS,4.490157411533043
E. coli,GLYCOLYSIS,2.266002660511347
E. coli,GLYCOLYSIS,6.039347725272393
E. coli,GLYCOLYSIS,0.9490839673145988
E. coli,GLYCOLYSIS,19.712572817669052
E. coli,TCA,120.24379468918033
E. coli,TCA,1.1783505346276295
E. coli,TCA,7.556471059432739
E. coli,TCA,27.125050704290853
E. coli,TCA,1.1526728476003962
E. coli,TCA,15.768593412013423
E. coli,TCA,17.625280293338097
E. coli,TCA,13.953815461895141
E. coli,TCA,5.835014895294913
E. coli,TCA,3.664359860515566
E. coli,TCA,31.663454320803957
E. coli,TCA,21.794031227597106
E. coli,TCA,13.697309623834911
E. coli,TCA,13.54538993953458
E. coli,TCA,25.160458206572212
E. coli,TCA,99.99125733358302
