Organism,Pathway,Parameter,True_Value,Estimated_Value,Std_Dev,Absolute_Error,Relative_Error_%
E. coli,GLYCOLYSIS,HXK_Vmax,226.5,217.61409592174618,25.454505121296247,8.885904078253816,3.9231364583902057
E. coli,GLYCOLYSIS,HXK_Km_glucose,0.1,0.13061688113524925,0.024799155121578566,0.03061688113524924,30.61688113524924
E. coli,GLYCOLYSIS,PGI_Vmax,339.7,366.1251277572361,25.5741408501772,26.425127757236112,7.778960187587905
E. coli,GLYCOLYSIS,PGI_Km_G6P,1.4,1.2744234145431756,0.1671507714759707,0.12557658545682426,8.969756104058876
E. coli,GLYCOLYSIS,PFK_Vmax,182.9,160.41931468429902,8.546900261202273,22.48068531570098,12.291244021706387
E. coli,GLYCOLYSIS,PFK_Km_F6P,0.1,0.09184216660747496,0.007273896585558126,0.008157833392525043,8.157833392525044
E. coli,GLYCOLYSIS,ALD_Vmax,322.3,302.25970954356904,7.051587658909198,20.040290456430967,6.217899614157917
E. coli,GLYCOLYSIS,ALD_Km_F16BP,0.3,0.3096465734226012,0.01607334693105814,0.009646573422601223,3.215524474200408
E. coli,GLYCOLYSIS,TPI_Vmax,999.3,1027.472850035697,18.75524780506712,28.172850035697138,2.81925848450887
E. coli,GLYCOLYSIS,TPI_Km_DHAP,1.2,1.3898309786957277,0.07838882077902729,0.18983097869572774,15.819248224643978
E. coli,GLYCOLYSIS,GAPDH_Vmax,1184.5,1058.4870818368518,42.35505392470573,126.01291816314824,10.638490347247636
E. coli,GLYCOLYSIS,GAPDH_Km_GAP,0.39,0.3748865092194411,0.010637988598710896,0.015113490780558902,3.8752540462971545
E. coli,GLYCOLYSIS,GAPDH_Km_NAD,2.84,2.982543771679437,0.05234833442919972,0.1425437716794371,5.019146890121025
E. coli,GLYCOLYSIS,PGK_Vmax,1306.4,1251.9715013897753,62.291068476267775,54.42849861022478,4.166296586820635
E. coli,GLYCOLYSIS,PGK_Km_13BPG,0.003,0.002141396978547086,0.0003008031120527903,0.000858603021452914,28.62010071509713
E. coli,GLYCOLYSIS,GPM_Vmax,2525.8,2282.8627102076157,348.23534950032507,242.9372897923845,9.61823144320154
E. coli,GLYCOLYSIS,GPM_Km_3PG,1.2,1.276650514423576,0.06600097539975361,0.07665051442357607,6.387542868631339
E. coli,GLYCOLYSIS,ENO_Vmax,365.8,349.37500418861214,63.64234446023652,16.424995811387873,4.490157411533043
E. coli,GLYCOLYSIS,ENO_Km_2PG,0.04,0.03909359893579546,0.0013776437364315024,0.0009064010642045386,2.266002660511347
E. coli,GLYCOLYSIS,PYK_Vmax,1088.0,1022.2918967490364,132.84349331606225,65.70810325096363,6.039347725272393
E. coli,GLYCOLYSIS,PYK_Km_PEP,0.14,0.13867128244575957,0.009197697196364103,0.0013287175542404384,0.9490839673145988
E. coli,GLYCOLYSIS,PDC_Km_pyruvate,6.36,5.106280368796249,0.641500353449744,1.2537196312037517,19.712572817669052
E. coli,TCA,CS_Vmax,100.0,220.24379468918033,0.06514485796800147,120.24379468918033,120.24379468918033
E. coli,TCA,CS_Km_AcCoA,0.013,0.013153185569501591,0.14700233948570113,0.00015318556950159185,1.1783505346276295
E. coli,TCA,ACO_Vmax,150.0,138.6652934108509,0.0013904374619650873,11.334706589149107,7.556471059432739
E. coli,TCA,ACO_Km_citrate,0.48,0.3497997566194039,0.00014752378614009702,0.1302002433805961,27.125050704290853
E. coli,TCA,ICDH_Vmax,85.0,84.02022807953966,0.08881935686601936,0.9797719204603368,1.1526728476003962
E. coli,TCA,ICDH_Km_isocitrate,0.11,0.12734545275321477,0.0007034745788237697,0.017345452753214766,15.768593412013423
E. coli,TCA,KGDH_Vmax,75.0,61.781039779996426,0.2982264516275802,13.218960220003574,17.625280293338097
E. coli,TCA,KGDH_Km_aKG,0.4,0.4558152618475806,0.004045218360272194,0.055815261847580566,13.953815461895141
E. coli,TCA,SCS_Vmax,75.0,70.62373882852881,0.07078240004382172,4.376261171471185,5.835014895294913
E. coli,TCA,SCS_Km_SucCoA,0.056,0.053947958478111284,0.0001894826923639498,0.0020520415218887172,3.664359860515566
E. coli,TCA,SDH_Vmax,60.0,78.99807259248237,0.10926376607148834,18.998072592482373,31.663454320803957
E. coli,TCA,SDH_Km_succinate,0.45,0.548073140524187,0.0016377142361889139,0.09807314052418697,21.794031227597106
E. coli,TCA,FH_Vmax,200.0,172.60538075233018,0.0020248562773437727,27.394619247669823,13.697309623834911
E. coli,TCA,FH_Km_fumarate,0.044,0.03804002842660478,5.514131107199957e-05,0.005959971573395215,13.54538993953458
E. coli,TCA,MDH_Vmax,180.0,225.28882477182998,0.07674585104137048,45.28882477182998,25.160458206572212
E. coli,TCA,MDH_Km_malate,0.025,2.1856666042455782e-06,0.1667779972245102,0.024997814333395756,99.99125733358302
