Organism,Pathway,Relative_Error_%
Arabidopsis,GLYCOLYSIS,8.983610599257357
Arabidopsis,GLYCOLYSIS,209.92563022111375
Arabidopsis,GLYCOLYSIS,10.76112111316875
Arabidopsis,GLYCOLYSIS,22.373311343855626
Arabidopsis,GLYCOLYSIS,9.853038263306788
Arabidopsis,GLYCOLYSIS,53.85330825879626
Arabidopsis,GLYCOLYSIS,10.523950654434424
Arabidopsis,GLYCOLYSIS,22.11117399891823
Arabidopsis,GLYCOLYSIS,9.740124519692584
Arabidopsis,GLYCOLYSIS,7.5227952534206635
Arabidopsis,GLYCOLYSIS,13.590943359420335
Arabidopsis,GLYCOLYSIS,7.129622322554904
Arabidopsis,GLYCOLYSIS,4.9507226984634345
Arabidopsis,GLYCOLYSIS,2.202012107060221
Arabidopsis,GLYCOLYSIS,2562.1238613747632
Arabidopsis,GLYCOLYSIS,10.0399737633276
Arabidopsis,GLYCOLYSIS,8.025429271638611
Arabidopsis,GLYCOLYSIS,15.548029428026677
Arabidopsis,GLYCOLYSIS,75.64641546891666
Arabidopsis,GLYCOLYSIS,10.582134791258436
Arabidopsis,GLYCOLYSIS,53.55476596128065
Arabidopsis,GLYCOLYSIS,10.466627992788897
Arabidopsis,TCA,120.0017181485795
Arabidopsis,TCA,39.61406493282446
Arabidopsis,TCA,7.569530889066432
Arabidopsis,TCA,22.262095088102832
Arabidopsis,TCA,1.126815228200107
Arabidopsis,TCA,39.446875948643736
Arabidopsis,TCA,20.275874669505185
Arabidopsis,TCA,17.85385969822234
Arabidopsis,TCA,6.172550660341831
Arabidopsis,TCA,3.0767838676877197
Arabidopsis,TCA,31.739510114748743
Arabidopsis,TCA,21.22762406703661
Arabidopsis,TCA,13.847092024445901
Arabidopsis,TCA,51.001576576678296
Arabidopsis,TCA,24.767623820762893
Arabidopsis,TCA,99.9997579818879
