Organism,Pathway,Parameter,True_Value,Estimated_Value,Std_Dev,Absolute_Error,Relative_Error_%
Arabidopsis,GLYCOLYSIS,HXK_Vmax,226.5,206.15212199268208,25.463280735773697,20.347878007317917,8.983610599257357
Arabidopsis,GLYCOLYSIS,HXK_Km_glucose,0.1,0.30992563022111375,0.04889341787052519,0.20992563022111374,209.92563022111375
Arabidopsis,GLYCOLYSIS,PGI_Vmax,339.7,376.25552842143424,25.57598753684633,36.555528421434246,10.76112111316875
Arabidopsis,GLYCOLYSIS,PGI_Km_G6P,1.4,1.0867736411860212,0.16710601230296993,0.31322635881397876,22.373311343855626
Arabidopsis,GLYCOLYSIS,PFK_Vmax,182.9,164.8787930164119,8.546056266049241,18.021206983588115,9.853038263306788
Arabidopsis,GLYCOLYSIS,PFK_Km_F6P,0.1,0.04614669174120374,0.00350394455283615,0.053853308258796265,53.85330825879626
Arabidopsis,GLYCOLYSIS,ALD_Vmax,322.3,288.38130704075786,7.051329642684991,33.91869295924215,10.523950654434424
Arabidopsis,GLYCOLYSIS,ALD_Km_F16BP,0.3,0.3663335219967547,0.019326794669902832,0.06633352199675469,22.11117399891823
Arabidopsis,GLYCOLYSIS,TPI_Vmax,999.3,901.966935674712,18.75421878509429,97.33306432528798,9.740124519692584
Arabidopsis,GLYCOLYSIS,TPI_Km_DHAP,1.2,1.290273543041048,0.07857311392967745,0.09027354304104795,7.5227952534206635
Arabidopsis,GLYCOLYSIS,GAPDH_Vmax,1184.5,1023.5152759076661,42.3569645268063,160.98472409233386,13.590943359420335
Arabidopsis,GLYCOLYSIS,GAPDH_Km_GAP,0.39,0.3621944729420359,0.0112922964478866,0.02780552705796413,7.129622322554904
Arabidopsis,GLYCOLYSIS,GAPDH_Km_NAD,2.84,2.9806005246363614,0.05101266563670017,0.14060052463636152,4.9507226984634345
Arabidopsis,GLYCOLYSIS,PGK_Vmax,1306.4,1335.1670861666348,62.2899788999976,28.767086166634726,2.202012107060221
Arabidopsis,GLYCOLYSIS,PGK_Km_13BPG,0.003,0.0798637158412429,0.014196850032796412,0.0768637158412429,2562.1238613747632
Arabidopsis,GLYCOLYSIS,GPM_Vmax,2525.8,2272.2103426858716,348.22627486626544,253.58965731412854,10.0399737633276
Arabidopsis,GLYCOLYSIS,GPM_Km_3PG,1.2,1.2963051512596633,0.06897730216479497,0.09630515125966332,8.025429271638611
Arabidopsis,GLYCOLYSIS,ENO_Vmax,365.8,308.9253083522784,63.62303426242789,56.87469164772159,15.548029428026677
Arabidopsis,GLYCOLYSIS,ENO_Km_2PG,0.04,0.07025856618756667,0.0028014544724823368,0.030258566187566664,75.64641546891666
Arabidopsis,GLYCOLYSIS,PYK_Vmax,1088.0,972.8663734711082,132.84867635896347,115.1336265288918,10.582134791258436
Arabidopsis,GLYCOLYSIS,PYK_Km_PEP,0.14,0.21497667234579293,0.012726954346564318,0.07497667234579292,53.55476596128065
Arabidopsis,GLYCOLYSIS,PDC_Km_pyruvate,6.36,5.694322459658626,0.6423689596097493,0.6656775403413739,10.466627992788897
Arabidopsis,TCA,CS_Vmax,100.0,220.0017181485795,0.00923583999701831,120.0017181485795,120.0017181485795
Arabidopsis,TCA,CS_Km_AcCoA,0.013,0.00785017155873282,0.032883826244501646,0.0051498284412671794,39.61406493282446
Arabidopsis,TCA,ACO_Vmax,150.0,138.64570366640035,0.02762260971403117,11.354296333599649,7.569530889066432
Arabidopsis,TCA,ACO_Km_citrate,0.48,0.3731419435771064,0.007975689468538326,0.10685805642289359,22.262095088102832
Arabidopsis,TCA,ICDH_Vmax,85.0,84.04220705602991,0.051124422498709604,0.957792943970091,1.126815228200107
Arabidopsis,TCA,ICDH_Km_isocitrate,0.11,0.1533915635435081,0.024450105443695004,0.04339156354350811,39.446875948643736
Arabidopsis,TCA,KGDH_Vmax,75.0,59.79309399787111,0.019635702457091234,15.206906002128889,20.275874669505185
Arabidopsis,TCA,KGDH_Km_aKG,0.4,0.4714154387928894,0.02577830438619373,0.07141543879288936,17.85385969822234
Arabidopsis,TCA,SCS_Vmax,75.0,70.37058700474363,0.0227574170982719,4.629412995256374,6.172550660341831
Arabidopsis,TCA,SCS_Km_SucCoA,0.056,0.05427700103409488,0.022276496485279757,0.0017229989659051231,3.0767838676877197
Arabidopsis,TCA,SDH_Vmax,60.0,79.04370606884925,0.035406166283186165,19.043706068849247,31.739510114748743
Arabidopsis,TCA,SDH_Km_succinate,0.45,0.5455243083016648,0.012752877715857917,0.09552430830166475,21.22762406703661
Arabidopsis,TCA,FH_Vmax,200.0,172.3058159511082,0.021448874356336495,27.6941840488918,13.847092024445901
Arabidopsis,TCA,FH_Km_fumarate,0.044,0.021559306306261548,0.011265254109444069,0.02244069369373845,51.001576576678296
Arabidopsis,TCA,MDH_Vmax,180.0,224.5817228773732,0.034691105663698873,44.58172287737321,24.767623820762893
Arabidopsis,TCA,MDH_Km_malate,0.025,6.0504528024969e-08,0.05767654268517372,0.024999939495471975,99.9997579818879
